EVENT,SEASON,ROUND,PLACE,,,TEAM,TIME,TIME_DETAIL,REACTION TIME,WIND,SCORE,,EVENT,SEASON,ROUND,PLACE,NAME,YEAR,TEAM,TIME_DETAIL,TIME_DETAIL,SCORE,WIND
10K,2014,FINAL,3,Mohammed Ahmed,SR,Wisconsin,28:43.82,'1 (3)',,,6,,,,,,,,,,,,
10K,2014,FINAL,4,Kennedy Kithuka,SR,Texas Tech,28:46.21,'1 (4)',,,5,,,,,,,,,,,,
10K,2014,FINAL,5,Trevor Dunbar,SR,Oregon,28:53.81,'1 (5)',,,4,,,,,,,,,,,,
10K,2014,FINAL,6,Jim Rosa,JR,Stanford,28:57.51,'1 (6)',,,3,,,,,,,,,,,,
10K,2014,FINAL,7,Joe Bosshard,SR,Colorado,29:01.23,'1 (7)',,,2,,,,,,,,,,,,
10K,2014,FINAL,8,Parker Stinson,SR,Oregon,29:01.39,'1 (8)',,,1,,,,,,,,,,,,
10K,2014,FINAL,9,Chris Bendtsen,SR,Princeton,29:14.86,'1 (9)',,,,,,,,,,,,,,,
10K,2014,FINAL,10,Adam Bitchell,SR,New Mexico,29:16.79,'1 (10)',,,,,,,,,,,,,,,
10K,2014,FINAL,11,John Mascari,SO,Indiana State,29:30.76,'1 (11)',,,,,,,,,,,,,,,
10K,2014,FINAL,12,Jason Witt,JR,BYU,29:40.98,'1 (12)',,,,,,,,,,,,,,,
10K,2014,FINAL,13,Andrew Springer,SR,Georgetown,29:41.96,'1 (13)',,,,,,,,,,,,,,,
10K,2014,FINAL,14,Brian Atkinson,SR,Duke,29:48.11,'1 (14)',,,,,,,,,,,,,,,
10K,2014,FINAL,15,Luke Caldwell,SR,New Mexico,29:48.64,'1 (15)',,,,,,,,,,,,,,,
10K,2014,FINAL,16,Thomas Porter,SR,Virginia,29:50.74,'1 (16)',,,,,,,,,,,,,,,
10K,2014,FINAL,17,Brandon Lord,JR,Georgia,30:11.96,'1 (17)',,,,,,,,,,,,,,,
10K,2014,FINAL,18,Morsi Rayyan,JR,Michigan,30:17.87,'1 (18)',,,,,,,,,,,,,,,
10K,2014,FINAL,19,Tyler Byrne,JR,Louisville,30:26.49,'1 (19)',,,,,,,,,,,,,,,
10K,2014,FINAL,20,Chris Enriquez,SO,Long Beach St,30:48.70,'1 (20)',,,,,,,,,,,,,,,
10K,2014,FINAL,21,Martin Hehir,JR,Syracuse,31:17.94,'1 (21)',,,,,,,,,,,,,,,
10K,2014,FINAL,22,Adam Visokay,FR,Virginia,32:25.14,'1 (22)',,,,,,,,,,,,,,,
10K,2014,FINAL,null,Jim Spisak,SR,Duquesne,DNF,null,,,,,,,,,,,,,,,
10K,2014,FINAL,null,James Leakos,SR,Harvard,DQ,null,,,,,,,,,,,,,,,
