values (EVENT,SEASON,ROUND,,,,,,,TIME_DETAIL,QUALIFIER,"""HEAT(PL)""",WIND,);
values (400H,2014,PRELIM,,Javonte Lipsey,,SO,North Carolina,50.80,,,'2 (3)',,);
values (400H,2014,PRELIM,,Tibor Koroknai,,SR,Nebraska,51.15,,,'2 (4)',,);
values (400H,2014,PRELIM,,Drew Branch,,JR,Georgia,51.51,,,'2 (5)',,);
values (400H,2014,PRELIM,,Jodi-Rae Blackwood,,SR,Nebraska,51.64,,,'2 (6)',,);
values (400H,2014,PRELIM,,Miles Dunlap,,JR,Kent State,52.60,,,'2 (7)',,);
values (400H,2014,PRELIM,,Jussi Kanervo,,FR,South Carolina,52.80,,,'2 (8)',,);
values (400H,2014,PRELIM,,Quincy Downing,,JR,LSU,50.55,,Q,'3 (1)',,);
values (400H,2014,PRELIM,,Keyunta Hayes,,JR,UTSA,50.68,,Q,'3 (2)',,);
values (400H,2014,PRELIM,,Mate Koroknai,,SO,Nebraska,50.75,,,'3 (3)',,);
values (400H,2014,PRELIM,,Charles Lewis,,JR,New Mexico,50.86,,,'3 (4)',,);
values (400H,2014,PRELIM,,Gregory Coleman,,JR,Texas A&M,51.02,,,'3 (5)',,);
values (400H,2014,PRELIM,,Max Tuttle,,SR,Indiana State,51.81,,,'3 (6)',,);
values (400H,2014,PRELIM,,Calvin Arsenault,,JR,Louisville,53.41,,,'3 (7)',,);
values (400H,2014,PRELIM,null,Scottie Hearn,,SO,Mississippi State,DNS,,,,,);
values (4x1,2014,PRELIM,,Western Kentucky,,,Western Kentucky,39.18,,Q,'1 (1)',,);
values (4x1,2014,PRELIM,,Arizona State,,,Arizona State,39.26,,Q,'1 (2)',,);
values (4x1,2014,PRELIM,,Nebraska,,,Nebraska,39.52,,,'1 (3)',,);
values (4x1,2014,PRELIM,,South Carolina,,,South Carolina,39.57,,,'1 (4)',,);
values (4x1,2014,PRELIM,,Texas-Arlington,,,Texas-Arlington,39.60,,,'1 (5)',,);
values (4x1,2014,PRELIM,,Arkansas,,,Arkansas,39.69,,,'1 (6)',,);
values (4x1,2014,PRELIM,,Texas,,,Texas,39.95,,,'1 (7)',,);
values (4x1,2014,PRELIM,,Charlotte,,,Charlotte,40.12,,,'1 (8)',,);
values (4x1,2014,PRELIM,,Texas A&M,,,Texas A&M,38.60,,Q,'2 (1)',,);
values (4x1,2014,PRELIM,,LSU,,,LSU,38.85,,Q,'2 (2)',,);
values (4x1,2014,PRELIM,,USC,,,USC,39.08,,q,'2 (3)',,);
values (4x1,2014,PRELIM,,Iowa,,,Iowa,39.19,,q,'2 (4)',,);
values (4x1,2014,PRELIM,,Purdue,,,Purdue,39.49,,,'2 (5)',,);
values (4x1,2014,PRELIM,,TCU,,,TCU,39.52,,,'2 (6)',,);
values (4x1,2014,PRELIM,,Houston,,,Houston,39.65,,,'2 (7)',,);
values (4x1,2014,PRELIM,,California,,,California,40.17,,,'2 (8)',,);
values (4x1,2014,PRELIM,,Florida,,,Florida,38.77,,Q,'3 (1)',,);
values (4x1,2014,PRELIM,,Alabama,,,Alabama,39.36,,Q,'3 (2)',,);
values (4x1,2014,PRELIM,,Louisiana Tech,,,Louisiana Tech,39.54,,,'3 (3)',,);
values (4x1,2014,PRELIM,,Florida State,,,Florida State,39.56,,,'3 (4)',,);
values (4x1,2014,PRELIM,,East Carolina,,,East Carolina,39.92,,,'3 (5)',,);
values (4x1,2014,PRELIM,,Mississippi,,,Mississippi,40.05,,,'3 (6)',,);
values (4x1,2014,PRELIM,null,Baylor,,,Baylor,DNF,,,null,,);
values (4x1,2014,PRELIM,null,Georgia,,,Georgia,DNF,,,null,,);
values (PV,2014,,PLACE,FIRST NAME,LAST NAME,YEAR,TEAM,MARK,,,FLIGHT(PL),,);
values (PV,2014,FINAL,1,Sam,Kendricks,JR,Mississippi,5.70m,,,'1 (1)',,);
values (PV,2014,FINAL,2,Shawn,Barber,SO,Akron,5.65m,,,'1 (2)',,);
values (PV,2014,FINAL,3,Jake,Blankenship,SO,Tennessee,5.55m,,,'1 (3)',,);
values (PV,2014,FINAL,4,Peter,Geraghty,SR,E. Illinois,5.50m,,,'1 (4)',,);
values (PV,2014,FINAL,5,Zach,Siegmeier,SR,Minnesota,5.50m,,,'1 (5)',,);
values (PV,2014,FINAL,5,Chase,Wolfle,SO,Texas A&M,5.50m,,,'1 (5)',,);
