University,Column1,Program_Type,Division,Region,Conference,Employer_Name2,Employer_Name3,Program_Type3,Division4,Region5,Conference6,Column6,
Towson University,Towson,Womens Program,35-NCAA D-I,Mid-Atlantic (D1)-2,Colonial Athletic Association,'Towson University','Towson','Womens Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Colonial Athletic Association',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Towson University','Towson','Womens Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Colonial Athletic Association');",
Troy University,Troy,MW Program,35-NCAA D-I,South (D1)-6,Sun Belt Conference,'Troy University','Troy','MW Program','35-NCAA D-I','South (D1)-6','Sun Belt Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Troy University','Troy','MW Program','35-NCAA D-I','South (D1)-6','Sun Belt Conference');",
Tulane University,Tulane,MW Program,35-NCAA D-I,South Central (D1)-7,American Athletic Conference,'Tulane University','Tulane','MW Program','35-NCAA D-I','South Central (D1)-7','American Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Tulane University','Tulane','MW Program','35-NCAA D-I','South Central (D1)-7','American Athletic Conference');",
U.S. Air Force Academy,Air Force,MW Program,35-NCAA D-I,Mountain (D1)-4,Mountain West Conference,'U.S. Air Force Academy','Air Force','MW Program','35-NCAA D-I','Mountain (D1)-4','Mountain West Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('U.S. Air Force Academy','Air Force','MW Program','35-NCAA D-I','Mountain (D1)-4','Mountain West Conference');",
U.S. Military Academy,U.S. Military,MW Program,35-NCAA D-I,Northeast (D1)-5,Patriot League,'U.S. Military Academy','U.S. Military','MW Program','35-NCAA D-I','Northeast (D1)-5','Patriot League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('U.S. Military Academy','U.S. Military','MW Program','35-NCAA D-I','Northeast (D1)-5','Patriot League');",
U.S. Naval Academy,Naval Academy,MW Program,35-NCAA D-I,Mid-Atlantic (D1)-2,Patriot League,'U.S. Naval Academy','Naval Academy','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Patriot League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('U.S. Naval Academy','Naval Academy','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Patriot League');",
University at Albany,Albany,MW Program,35-NCAA D-I,Northeast (D1)-5,America East Conference,'University at Albany','Albany','MW Program','35-NCAA D-I','Northeast (D1)-5','America East Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University at Albany','Albany','MW Program','35-NCAA D-I','Northeast (D1)-5','America East Conference');",
University at Buffalo,Buffalo,MW Program,35-NCAA D-I,Northeast (D1)-5,Mid-American Conference,'University at Buffalo','Buffalo','MW Program','35-NCAA D-I','Northeast (D1)-5','Mid-American Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University at Buffalo','Buffalo','MW Program','35-NCAA D-I','Northeast (D1)-5','Mid-American Conference');",
University of Akron,Akron,MW Program,35-NCAA D-I,Great Lakes (D1)-1,Mid-American Conference,'University of Akron','Akron','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Mid-American Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Akron','Akron','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Mid-American Conference');",
University of Alabama,Alabama,MW Program,35-NCAA D-I,South (D1)-6,Southeastern Conference,'University of Alabama','Alabama','MW Program','35-NCAA D-I','South (D1)-6','Southeastern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Alabama','Alabama','MW Program','35-NCAA D-I','South (D1)-6','Southeastern Conference');",
