University,Column1,Program_Type,Division,Region,Conference,Employer_Name2,Employer_Name3,Program_Type3,Division4,Region5,Conference6,Column6,
University of Texas Rio Grande Valley,University of Texas Rio Grande,MW Program,35-NCAA D-I,South Central (D1)-7,Western Athletic Conference,'University of Texas Rio Grande Valley','University of Texas Rio Grande','MW Program','35-NCAA D-I','South Central (D1)-7','Western Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Texas Rio Grande Valley','University of Texas Rio Grande','MW Program','35-NCAA D-I','South Central (D1)-7','Western Athletic Conference');",
University of the Incarnate Word,Incarnate World,MW Program,35-NCAA D-I,South Central (D1)-7,Southland Conference,'University of the Incarnate Word','Incarnate World','MW Program','35-NCAA D-I','South Central (D1)-7','Southland Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of the Incarnate Word','Incarnate World','MW Program','35-NCAA D-I','South Central (D1)-7','Southland Conference');",
University of Toledo,Toledo,Mens CC Womens Program,35-NCAA D-I,Great Lakes (D1)-1,Mid-American Conference,'University of Toledo','Toledo','Mens CC Womens Program','35-NCAA D-I','Great Lakes (D1)-1','Mid-American Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Toledo','Toledo','Mens CC Womens Program','35-NCAA D-I','Great Lakes (D1)-1','Mid-American Conference');",
University of Tulsa,Tulsa,MW Program,35-NCAA D-I,Midwest (D1)-3,American Athletic Conference,'University of Tulsa','Tulsa','MW Program','35-NCAA D-I','Midwest (D1)-3','American Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Tulsa','Tulsa','MW Program','35-NCAA D-I','Midwest (D1)-3','American Athletic Conference');",
University of Utah,Utah,Womens Program,35-NCAA D-I,Mountain (D1)-4,Pac-12 Conference,'University of Utah','Utah','Womens Program','35-NCAA D-I','Mountain (D1)-4','Pac-12 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Utah','Utah','Womens Program','35-NCAA D-I','Mountain (D1)-4','Pac-12 Conference');",
University of Vermont,Vermont,MW Program,35-NCAA D-I,Northeast (D1)-5,America East Conference,'University of Vermont','Vermont','MW Program','35-NCAA D-I','Northeast (D1)-5','America East Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Vermont','Vermont','MW Program','35-NCAA D-I','Northeast (D1)-5','America East Conference');",
University of Virginia,Virginia,MW Program,35-NCAA D-I,Southeast (D1)-8,Atlantic Coast Conference,'University of Virginia','Virginia','MW Program','35-NCAA D-I','Southeast (D1)-8','Atlantic Coast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Virginia','Virginia','MW Program','35-NCAA D-I','Southeast (D1)-8','Atlantic Coast Conference');",
University of Washington,Washington,MW Program,35-NCAA D-I,West (D1)-9,Pac-12 Conference,'University of Washington','Washington','MW Program','35-NCAA D-I','West (D1)-9','Pac-12 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Washington','Washington','MW Program','35-NCAA D-I','West (D1)-9','Pac-12 Conference');",
"University of Wisconsin, Madison",Wisconsin,MW Program,35-NCAA D-I,Great Lakes (D1)-1,Big Ten Conference,"'University of Wisconsin, Madison'",'Wisconsin','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Big Ten Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Wisconsin, Madison','Wisconsin','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Big Ten Conference');",
"University of Wisconsin, Milwaukee",UW-Milwaukee,MW Program,35-NCAA D-I,Great Lakes (D1)-1,Horizon League,"'University of Wisconsin, Milwaukee'",'UW-Milwaukee','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Horizon League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Wisconsin, Milwaukee','UW-Milwaukee','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Horizon League');",
University of Wisconsin-Green Bay,University of Wisconsin-Green,MW CC,35-NCAA D-I,Great Lakes (D1)-1,Horizon League,'University of Wisconsin-Green Bay','University of Wisconsin-Green','MW CC','35-NCAA D-I','Great Lakes (D1)-1','Horizon League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Wisconsin-Green Bay','University of Wisconsin-Green','MW CC','35-NCAA D-I','Great Lakes (D1)-1','Horizon League');",
University of Wyoming,Wyoming,MW Program,35-NCAA D-I,Mountain (D1)-4,Mountain West Conference,'University of Wyoming','Wyoming','MW Program','35-NCAA D-I','Mountain (D1)-4','Mountain West Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Wyoming','Wyoming','MW Program','35-NCAA D-I','Mountain (D1)-4','Mountain West Conference');",
Utah State University,Utah State,MW Program,35-NCAA D-I,Mountain (D1)-4,Mountain West Conference,'Utah State University','Utah State','MW Program','35-NCAA D-I','Mountain (D1)-4','Mountain West Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Utah State University','Utah State','MW Program','35-NCAA D-I','Mountain (D1)-4','Mountain West Conference');",
Utah Valley University,Utah Valley,MW Program,35-NCAA D-I,Mountain (D1)-4,Western Athletic Conference,'Utah Valley University','Utah Valley','MW Program','35-NCAA D-I','Mountain (D1)-4','Western Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Utah Valley University','Utah Valley','MW Program','35-NCAA D-I','Mountain (D1)-4','Western Athletic Conference');",
UTSA,UTSA,MW Program,35-NCAA D-I,South Central (D1)-7,Conference USA,'UTSA','UTSA','MW Program','35-NCAA D-I','South Central (D1)-7','Conference USA',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('UTSA','UTSA','MW Program','35-NCAA D-I','South Central (D1)-7','Conference USA');",
Valparaiso University,Valparaiso,MW Program,35-NCAA D-I,Great Lakes (D1)-1,Horizon League,'Valparaiso University','Valparaiso','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Horizon League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Valparaiso University','Valparaiso','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Horizon League');",
Vanderbilt University,Vanderbilt,Mens CC Womens Program,35-NCAA D-I,South (D1)-6,Southeastern Conference,'Vanderbilt University','Vanderbilt','Mens CC Womens Program','35-NCAA D-I','South (D1)-6','Southeastern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Vanderbilt University','Vanderbilt','Mens CC Womens Program','35-NCAA D-I','South (D1)-6','Southeastern Conference');",
Villanova University,Villanova,Womens Program,35-NCAA D-I,Mid-Atlantic (D1)-2,BIG EAST Conference,'Villanova University','Villanova','Womens Program','35-NCAA D-I','Mid-Atlantic (D1)-2','BIG EAST Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Villanova University','Villanova','Womens Program','35-NCAA D-I','Mid-Atlantic (D1)-2','BIG EAST Conference');",
Villanova University,Villanova,Mens Program,35-NCAA D-I,Mid-Atlantic (D1)-2,BIG EAST Conference,'Villanova University','Villanova','Mens Program','35-NCAA D-I','Mid-Atlantic (D1)-2','BIG EAST Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Villanova University','Villanova','Mens Program','35-NCAA D-I','Mid-Atlantic (D1)-2','BIG EAST Conference');",
Virginia Commonwealth University,VCU,MW Program,35-NCAA D-I,Southeast (D1)-8,Atlantic 10 Conference,'Virginia Commonwealth University','VCU','MW Program','35-NCAA D-I','Southeast (D1)-8','Atlantic 10 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Virginia Commonwealth University','VCU','MW Program','35-NCAA D-I','Southeast (D1)-8','Atlantic 10 Conference');",
Virginia Military Institute,Virginia Military,MW Program,35-NCAA D-I,Southeast (D1)-8,Southern Conference,'Virginia Military Institute','Virginia Military','MW Program','35-NCAA D-I','Southeast (D1)-8','Southern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Virginia Military Institute','Virginia Military','MW Program','35-NCAA D-I','Southeast (D1)-8','Southern Conference');",
Virginia Tech,Virginia Tech,MW Program,35-NCAA D-I,Southeast (D1)-8,Atlantic Coast Conference,'Virginia Tech','Virginia Tech','MW Program','35-NCAA D-I','Southeast (D1)-8','Atlantic Coast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Virginia Tech','Virginia Tech','MW Program','35-NCAA D-I','Southeast (D1)-8','Atlantic Coast Conference');",
Wagner College,Wagner,MW Program,35-NCAA D-I,Northeast (D1)-5,Northeast Conference,'Wagner College','Wagner','MW Program','35-NCAA D-I','Northeast (D1)-5','Northeast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Wagner College','Wagner','MW Program','35-NCAA D-I','Northeast (D1)-5','Northeast Conference');",
Wake Forest University,Wake Forest,MW Program,35-NCAA D-I,Southeast (D1)-8,Atlantic Coast Conference,'Wake Forest University','Wake Forest','MW Program','35-NCAA D-I','Southeast (D1)-8','Atlantic Coast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Wake Forest University','Wake Forest','MW Program','35-NCAA D-I','Southeast (D1)-8','Atlantic Coast Conference');",
Washington State University,Washington State,MW Program,35-NCAA D-I,West (D1)-9,Pac-12 Conference,'Washington State University','Washington State','MW Program','35-NCAA D-I','West (D1)-9','Pac-12 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Washington State University','Washington State','MW Program','35-NCAA D-I','West (D1)-9','Pac-12 Conference');",
Weber State University,Weber State,MW Program,35-NCAA D-I,Mountain (D1)-4,Big Sky Conference,'Weber State University','Weber State','MW Program','35-NCAA D-I','Mountain (D1)-4','Big Sky Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Weber State University','Weber State','MW Program','35-NCAA D-I','Mountain (D1)-4','Big Sky Conference');",
West Virginia University,West Virginia,Womens Program,35-NCAA D-I,Mid-Atlantic (D1)-2,Big 12 Conference,'West Virginia University','West Virginia','Womens Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Big 12 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('West Virginia University','West Virginia','Womens Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Big 12 Conference');",
Western Carolina University,Western Carolina,MW Program,35-NCAA D-I,Southeast (D1)-8,Southern Conference,'Western Carolina University','Western Carolina','MW Program','35-NCAA D-I','Southeast (D1)-8','Southern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Western Carolina University','Western Carolina','MW Program','35-NCAA D-I','Southeast (D1)-8','Southern Conference');",
Western Illinois University,Western Illinois,MW Program,35-NCAA D-I,Midwest (D1)-3,The Summit League,'Western Illinois University','Western Illinois','MW Program','35-NCAA D-I','Midwest (D1)-3','The Summit League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Western Illinois University','Western Illinois','MW Program','35-NCAA D-I','Midwest (D1)-3','The Summit League');",
Western Kentucky University,Western Kentucky,MW Program,35-NCAA D-I,Southeast (D1)-8,Conference USA,'Western Kentucky University','Western Kentucky','MW Program','35-NCAA D-I','Southeast (D1)-8','Conference USA',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Western Kentucky University','Western Kentucky','MW Program','35-NCAA D-I','Southeast (D1)-8','Conference USA');",
Western Michigan University,Western Michigan,Womens Program,35-NCAA D-I,Great Lakes (D1)-1,Mid-American Conference,'Western Michigan University','Western Michigan','Womens Program','35-NCAA D-I','Great Lakes (D1)-1','Mid-American Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Western Michigan University','Western Michigan','Womens Program','35-NCAA D-I','Great Lakes (D1)-1','Mid-American Conference');",
Wichita State University,Wichita State,MW Program,35-NCAA D-I,Midwest (D1)-3,Missouri Valley Conference,'Wichita State University','Wichita State','MW Program','35-NCAA D-I','Midwest (D1)-3','Missouri Valley Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Wichita State University','Wichita State','MW Program','35-NCAA D-I','Midwest (D1)-3','Missouri Valley Conference');",
Winthrop University,Winthrop,MW Program,35-NCAA D-I,Southeast (D1)-8,Big South Conference,'Winthrop University','Winthrop','MW Program','35-NCAA D-I','Southeast (D1)-8','Big South Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Winthrop University','Winthrop','MW Program','35-NCAA D-I','Southeast (D1)-8','Big South Conference');",
Wofford College,Wofford,MW Program,35-NCAA D-I,Southeast (D1)-8,Southern Conference,'Wofford College','Wofford','MW Program','35-NCAA D-I','Southeast (D1)-8','Southern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Wofford College','Wofford','MW Program','35-NCAA D-I','Southeast (D1)-8','Southern Conference');",
Wright State University,Wright State,Mens CC Womens Program,35-NCAA D-I,Great Lakes (D1)-1,Horizon League,'Wright State University','Wright State','Mens CC Womens Program','35-NCAA D-I','Great Lakes (D1)-1','Horizon League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Wright State University','Wright State','Mens CC Womens Program','35-NCAA D-I','Great Lakes (D1)-1','Horizon League');",
Xavier University,Xavier,MW Program,35-NCAA D-I,Great Lakes (D1)-1,BIG EAST Conference,'Xavier University','Xavier','MW Program','35-NCAA D-I','Great Lakes (D1)-1','BIG EAST Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Xavier University','Xavier','MW Program','35-NCAA D-I','Great Lakes (D1)-1','BIG EAST Conference');",
Yale University,Yale,MW Program,35-NCAA D-I,Northeast (D1)-5,Ivy League,'Yale University','Yale','MW Program','35-NCAA D-I','Northeast (D1)-5','Ivy League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Yale University','Yale','MW Program','35-NCAA D-I','Northeast (D1)-5','Ivy League');",
Youngstown State University,Youngstown,MW Program,35-NCAA D-I,Great Lakes (D1)-1,Horizon League,'Youngstown State University','Youngstown','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Horizon League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Youngstown State University','Youngstown','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Horizon League');",
